# COVID crash: the fastest 30% drawdown on record, and the recovery.
# Adjusted daily closes, 2019-06-01 to 2020-12-31. 400 sessions common to all six names.
# Source: Yahoo Finance chart endpoint, fetched by tools/fetch_crisis_data.py. Committed so this backtest reproduces with no network and no credentials.
date,AAPL,CVX,JPM,MSFT,NVDA,XOM
2019-06-03,41.418022,84.631607,87.633904,112.311081,3.319832,52.050808
2019-06-04,42.933258,85.587425,90.333862,115.422501,3.548633,53.289085
2019-06-05,43.626354,85.842834,90.654884,117.924774,3.505950,52.847359
2019-06-06,44.266861,88.053642,90.852470,119.789734,3.567988,53.810463
2019-06-07,45.445103,88.637367,89.856445,123.144829,3.610672,54.005978
2019-06-10,46.025871,89.228386,90.827766,124.269394,3.683381,54.244946
2019-06-11,46.558826,88.411171,91.107628,123.800888,3.740953,54.194256
2019-06-12,46.410656,87.696114,89.946960,123.229218,3.628043,53.607712
2019-06-13,46.401100,88.221466,90.169243,124.007011,3.679163,54.078392
2019-06-14,46.064110,88.148514,90.399727,124.128876,3.589330,53.839424
2019-06-17,46.338955,88.571716,89.905838,124.503754,3.599008,54.375290
2019-06-18,47.428783,89.695351,91.132332,126.668617,3.793810,54.845970
2019-06-19,47.290161,89.666176,90.473816,127.165314,3.799767,54.541843
2019-06-20,47.670170,90.680367,90.704300,128.346161,3.824085,55.475975
2019-06-21,47.507637,91.154648,90.086922,128.364883,3.766016,56.258053
2019-06-24,47.459846,91.140053,89.444862,129.124008,3.788351,55.722187
2019-06-25,46.740479,90.213409,88.704018,125.047302,3.759069,55.229763
2019-06-26,47.751415,90.424988,89.296692,125.515869,3.952134,55.468746
2019-06-27,47.737087,89.826675,89.593018,125.722076,4.050652,54.903893
2019-06-28,47.302116,90.797119,92.029594,125.544037,4.075467,55.490440
2019-07-01,48.169662,91.088989,93.577141,127.155922,4.123610,55.439766
2019-07-02,48.451679,89.695351,93.675919,127.999435,4.025836,54.831493
2019-07-03,48.853195,90.001793,93.526695,128.824112,4.038741,55.352882
2019-07-05,48.810173,90.140434,94.082123,128.449234,3.976206,55.128387
2019-07-08,47.804012,90.184219,93.568115,128.355545,3.901262,55.381813
2019-07-09,48.095581,90.001793,93.966080,127.886963,3.903744,55.345631
2019-07-10,48.571182,91.526764,93.692497,129.189621,3.971987,56.127693
2019-07-11,48.217464,91.519478,94.587814,129.705032,4.126339,56.171139
2019-07-12,48.587906,91.920776,95.582611,130.173660,4.159344,56.214588
2019-07-15,49.044395,91.731056,94.422005,130.173660,4.150908,55.816319
2019-07-16,48.874706,91.030617,95.433388,128.467972,4.146193,54.983555
2019-07-17,48.599865,90.578232,94.496613,127.708900,4.211459,54.657696
2019-07-18,49.151943,90.972252,95.060310,127.849411,4.223120,54.194256
2019-07-19,48.418224,91.234901,94.123558,128.036896,4.179941,54.302876
2019-07-22,49.524784,91.431908,94.728729,129.733109,4.251411,54.360802
2019-07-23,49.911949,91.804024,96.461311,130.539108,4.359110,54.578037
2019-07-24,49.871323,92.329369,96.850960,131.879303,4.433556,54.570812
2019-07-25,49.476986,91.665413,95.922485,131.382629,4.302531,54.259426
2019-07-26,49.649044,90.271782,96.345276,132.460342,4.344470,54.172531
2019-07-29,50.112694,90.643890,96.038536,132.169830,4.338265,54.556316
2019-07-30,49.897606,90.724144,95.822998,131.532547,4.353899,54.563553
