# Global financial crisis: the quant quake, Bear Stearns, Lehman, and the March 2009 bottom.
# Adjusted daily closes, 2007-07-01 to 2009-12-31. 631 sessions common to all six names.
# Source: Yahoo Finance chart endpoint, fetched by tools/fetch_crisis_data.py. Committed so this backtest reproduces with no network and no credentials.
date,AAPL,CVX,JPM,MSFT,NVDA,XOM
2007-07-02,3.626842,40.251484,30.128927,21.044998,0.656722,43.316330
2007-07-03,3.803609,40.809288,30.481060,21.243137,0.657790,43.592098
2007-07-05,3.970502,40.922741,30.141279,21.221907,0.664811,43.489975
2007-07-06,3.957046,41.447433,30.252470,21.207752,0.668016,44.153854
2007-07-09,3.898124,42.307793,30.141279,21.136988,0.687399,44.654331
2007-07-10,3.958540,42.071419,29.350527,20.754868,0.694114,44.174316
2007-07-11,3.959735,42.898678,29.733553,20.868090,0.691062,44.577736
2007-07-12,4.009984,44.104092,30.598436,21.278521,0.704340,45.767639
2007-07-13,4.119453,44.118279,30.919670,21.101610,0.700066,46.130234
2007-07-16,4.130521,43.546288,30.783772,21.250214,0.712733,45.808495
2007-07-17,4.154748,43.064110,30.839369,21.780933,0.709681,45.496971
2007-07-18,4.131118,44.000092,30.196894,21.880007,0.696708,46.548977
2007-07-19,4.187347,43.962292,30.036253,22.297516,0.695946,47.131153
2007-07-20,4.299510,43.546288,29.381426,22.049828,0.688315,46.952435
2007-07-23,4.298014,43.758999,29.128147,22.071062,0.695183,47.718441
2007-07-24,4.034509,42.473225,28.009960,21.795088,0.676868,46.390667
2007-07-25,4.105397,43.040497,27.966709,21.731400,0.673663,47.386501
2007-07-26,4.366807,41.343456,27.231560,21.214834,0.677020,45.057770
2007-07-27,4.302500,40.275116,27.324228,20.797325,0.675342,43.709568
2007-07-30,4.230119,40.856556,27.645468,20.804407,0.694267,43.924061
2007-07-31,3.940892,40.303474,27.188322,20.514277,0.698387,43.474651
2007-08-01,4.037799,40.260925,27.416895,20.733643,0.693198,43.837234
2007-08-02,4.082365,39.655857,27.546616,20.889313,0.690146,43.500172
2007-08-03,3.943585,38.299179,26.965918,20.493044,0.649244,41.917042
2007-08-06,4.045278,38.771904,27.867863,20.903465,0.654738,42.662678
2007-08-07,4.038697,39.320240,28.009960,20.910549,0.665116,43.765747
2007-08-08,4.008188,39.863865,28.732748,21.228981,0.695792,44.889263
2007-08-09,3.780278,38.341717,27.287148,20.733643,0.704034,42.863968
2007-08-10,3.738705,39.433693,27.336576,20.316141,0.671374,43.330582
2007-08-13,3.822151,38.975166,27.077126,20.259525,0.664048,42.515335
2007-08-14,3.709692,38.975166,26.749689,20.074892,0.689840,42.622997
2007-08-15,3.586165,38.446712,26.564360,19.954174,0.660690,41.884663
2007-08-16,3.500922,38.746655,28.090269,19.748251,0.649702,41.361694
2007-08-17,3.650769,40.160564,29.041639,20.060694,0.688009,43.140862
2007-08-20,3.655556,40.412846,28.720390,20.067801,0.685261,43.340813
2007-08-21,3.815571,40.131989,28.541239,19.932865,0.722348,42.633247
2007-08-22,3.963326,40.650879,28.417679,20.039387,0.738831,42.853733
2007-08-23,3.920254,40.693756,28.213814,20.096195,0.732574,42.940887
2007-08-24,4.046773,41.522064,28.386799,20.458353,0.736390,43.935596
2007-08-27,3.955548,41.417355,27.744310,20.231127,0.753025,43.643337
2007-08-28,3.793139,40.131989,26.935017,19.833458,0.707087,42.556328
2007-08-29,4.010283,41.274540,27.262434,20.302135,0.747225,43.699711
2007-08-30,4.075188,41.507812,27.163605,20.202721,0.742952,43.786907
2007-08-31,4.141885,41.779160,27.503382,20.401546,0.780802,43.956085
2007-09-04,4.311773,42.240944,27.985243,20.458353,0.804916,44.725208
2007-09-05,4.090441,42.064808,27.287148,20.224024,0.798811,44.720047
2007-09-06,4.038098,42.336159,27.311865,20.529367,0.802321,44.858479
2007-09-07,3.941192,41.726780,26.885607,20.195616,0.773019,43.966331
2007-09-10,4.088945,41.441162,27.138885,20.224024,0.775155,43.510014
2007-09-11,4.052455,42.174278,27.515736,20.543562,0.791638,44.576488
2007-09-12,4.093135,42.459927,27.472483,20.543562,0.760503,44.940514
2007-09-13,4.103600,42.888371,28.170584,20.706892,0.760732,45.437855
2007-09-14,4.151756,43.154968,28.133507,20.621675,0.738297,45.463520
2007-09-17,4.139791,43.288277,27.979071,20.401546,0.736695,45.766010
2007-09-18,4.214865,44.435562,29.542034,20.543562,0.801253,47.047840
2007-09-19,4.210379,44.802143,29.387590,20.358948,0.786601,47.232426
2007-09-20,4.196619,44.830708,29.010756,20.181414,0.782023,47.217026
2007-09-21,4.311473,45.149662,29.115770,20.344732,0.789577,47.329842
2007-09-24,4.434999,44.916397,28.627733,20.650093,0.809723,47.032455
2007-09-25,4.581557,43.740509,28.479445,20.990944,0.820025,47.150391
2007-09-26,4.569294,44.040443,28.498007,20.948336,0.839484,47.360588
2007-09-27,4.621038,44.516499,28.547422,20.941233,0.842002,47.668247
2007-09-28,4.590232,44.549824,28.306479,20.919937,0.829640,47.458004
2007-10-01,4.676071,44.959263,28.918104,21.140064,0.864666,48.170685
2007-10-02,4.739180,44.064259,29.134300,21.090353,0.856425,47.293930
2007-10-03,4.723330,43.550125,29.271315,20.912832,0.820025,46.827362
2007-10-04,4.673080,43.721485,29.427015,21.097458,0.823688,46.617138
2007-10-05,4.828909,43.950008,29.632544,21.189775,0.845436,46.842751
2007-10-08,5.022126,43.597713,29.545340,21.189775,0.859172,46.494091
2007-10-09,5.020629,44.178493,29.626310,21.374403,0.844063,47.514408
2007-10-10,4.988627,43.835751,29.215271,21.466724,0.844978,47.750275
2007-10-11,4.852241,43.321594,29.059578,21.239475,0.807434,47.509296
2007-10-12,5.002387,43.516788,29.159212,21.424122,0.827122,47.929729
2007-10-15,4.994310,43.954742,28.816675,21.331795,0.833074,48.616776
2007-10-16,5.072076,44.487938,28.094233,21.530630,0.840629,48.575745
2007-10-17,5.166890,44.397503,28.878965,22.070316,0.905187,48.606514
2007-10-18,5.189321,43.997593,28.586252,22.127115,0.904500,48.734688
2007-10-19,5.097199,42.498024,28.038193,21.424122,0.855967,47.242653
2007-10-22,5.215044,42.102875,28.256165,21.665546,0.896488,46.612011
2007-10-23,5.567976,42.331390,28.611156,21.942497,0.900837,46.837605
2007-10-24,5.561097,42.797924,28.816675,22.191025,0.870390,47.237545
2007-10-25,5.466882,43.431084,28.679663,22.716515,0.794385,46.950439
2007-10-26,5.524310,43.631035,29.470610,24.875256,0.787517,47.278561
2007-10-29,5.535973,44.216591,29.065800,24.548611,0.768974,47.996372
2007-10-30,5.593102,42.883644,28.997290,25.258724,0.797132,46.729935
2007-10-31,5.681334,43.564396,29.271315,26.139257,0.809952,47.165760
2007-11-01,5.606262,42.388504,27.602251,26.316788,0.809952,45.376347
2007-11-02,5.619122,42.121948,26.873562,26.316788,0.841086,45.084091
2007-11-05,5.568573,42.121948,26.636904,26.082447,0.841086,44.945663
2007-11-06,5.736369,43.150223,27.471434,25.855217,0.867642,46.340256
2007-11-07,5.572163,41.674423,26.306828,25.223215,0.826435,44.883621
2007-11-08,5.248242,42.455177,26.537260,24.669336,0.774697,46.026291
2007-11-09,4.946155,41.541119,26.350416,23.952114,0.763708,44.703453
2007-11-12,4.598905,40.593765,26.400240,23.703569,0.687475,43.514465
2007-11-13,5.083439,41.336414,28.056873,24.551407,0.748141,44.718910
2007-11-14,4.968289,41.288483,28.119154,24.173801,0.736466,44.425514
2007-11-15,4.914152,40.334763,27.110224,24.052675,0.726622,43.488731
2007-11-16,4.976663,41.207020,26.836185,24.287794,0.742876,43.802689
2007-11-19,4.903683,40.751728,25.764982,24.195169,0.692740,43.293114
2007-11-20,5.050241,42.127216,25.926912,24.636900,0.687475,45.202740
2007-11-21,5.038578,41.096786,25.335257,24.387527,0.680149,44.801277
2007-11-23,5.130699,41.537704,26.126211,24.302050,0.691825,45.444668
2007-11-26,5.160609,40.157425,25.198244,23.489838,0.675799,44.101227
2007-11-27,5.228503,40.406658,26.375330,23.553951,0.704874,44.461529
2007-11-28,5.390314,41.245354,27.378016,24.009932,0.752033,45.254211
2007-11-29,5.512046,41.485001,27.184963,23.931561,0.758214,45.599060
2007-11-30,5.450134,42.064915,28.411858,23.938681,0.722043,45.892471
2007-12-03,5.349636,42.098434,28.156521,23.454206,0.732574,45.732899
2007-12-04,5.378052,41.772564,27.496361,23.347349,0.731887,45.357159
2007-12-05,5.548235,42.798172,27.963451,24.330534,0.769889,46.283649
2007-12-06,5.681334,43.795040,28.779314,24.615522,0.785457,47.066036
2007-12-07,5.811442,43.593739,28.698341,24.601278,0.775613,47.096931
2007-12-10,5.808748,43.957989,29.532887,24.765139,0.784083,47.369709
2007-12-11,5.639163,43.080933,28.611156,24.294910,0.784999,46.468960
2007-12-12,5.708552,43.986748,28.741945,24.558533,0.812013,47.313080
2007-12-13,5.737562,44.609787,28.499056,25.092865,0.789807,47.724873
2007-12-14,5.694495,44.101765,28.150288,25.156994,0.802855,46.932186
2007-12-17,5.515336,43.124081,27.733027,24.501528,0.761877,46.268192
2007-12-18,5.472863,43.703995,27.340649,24.750891,0.781336,47.055725
2007-12-19,5.477051,43.564995,27.390490,24.786512,0.788662,47.060886
2007-12-20,5.599383,44.116154,26.985666,25.306608,0.805144,47.421177
2007-12-21,5.799778,45.069874,27.471434,25.691334,0.804916,48.090324
2007-12-24,5.946037,45.280762,27.919857,26.061817,0.819109,48.208698
2007-12-26,5.950521,45.453304,27.988361,26.083200,0.830098,48.800629
2007-12-27,5.939155,44.930897,27.178730,25.627222,0.804458,48.213844
2007-12-28,5.976841,45.462868,26.942078,25.734083,0.796445,48.898411
2007-12-31,5.924500,44.729610,27.184963,25.363592,0.778818,48.224144
2008-01-02,5.827592,44.791904,26.493874,25.092865,0.755696,48.131493
2008-01-03,5.830283,45.343063,26.311666,25.199749,0.749744,48.296207
2008-01-04,5.385228,44.739182,25.714819,24.494402,0.686788,47.395439
2008-01-07,5.313148,44.154480,25.972412,24.658262,0.615820,46.952778
2008-01-08,5.122024,43.588955,24.942057,23.831818,0.628869,46.350555
2008-01-09,5.365788,44.365341,25.293890,24.537151,0.661377,47.127781
2008-01-10,5.324512,44.044250,25.966125,24.458780,0.647641,47.179256
2008-01-11,5.165094,43.454777,25.670853,24.159554,0.619254,46.479252
2008-01-14,5.347244,43.569771,25.984978,24.501528,0.660461,46.752048
2008-01-15,5.055923,42.304539,24.609077,24.223660,0.611928,45.820404
2008-01-16,4.774775,41.336418,26.028955,23.675076,0.542792,44.538750
2008-01-17,4.812160,39.659000,25.155668,23.589565,0.533406,43.190174
