# 2022 rate shock: a slow grind rather than a spike -- the useful contrast to the other two.
# Adjusted daily closes, 2021-06-01 to 2022-12-31. 401 sessions common to all six names.
# Source: Yahoo Finance chart endpoint, fetched by tools/fetch_crisis_data.py. Committed so this backtest reproduces with no network and no credentials.
date,AAPL,CVX,JPM,MSFT,NVDA,XOM
2021-06-01,121.037773,86.117027,145.684067,236.982864,16.204725,49.983143
2021-06-02,121.797424,87.271698,145.692841,236.887070,16.716581,50.379971
2021-06-03,120.317093,86.876022,145.789352,235.364014,16.907377,50.578373
2021-06-04,122.605774,87.570465,146.026230,240.230118,17.513643,50.801594
2021-06-07,122.615517,87.005234,145.341934,243.122940,17.554245,50.470901
2021-06-08,123.433601,87.796547,144.762863,241.935181,17.392838,51.363766
2021-06-09,123.813416,87.029442,142.955521,242.912201,17.298418,51.793644
2021-06-10,122.820053,87.538162,140.727066,246.408524,17.364935,51.876320
2021-06-11,124.027679,87.134415,140.630524,247.031158,17.763805,51.396820
2021-06-14,127.076027,87.182877,138.244156,248.946930,17.956640,51.314152
2021-06-15,126.257942,89.064293,136.147293,247.481354,17.727186,53.182529
2021-06-16,126.754639,88.555588,137.103546,246.542587,17.748861,52.992386
2021-06-17,128.351852,86.456131,133.146713,249.914368,18.592937,51.248016
2021-06-18,127.056534,83.193947,129.777664,248.506226,18.574501,49.933537
2021-06-21,128.848541,85.632515,131.979828,251.571594,18.363733,51.744041
2021-06-22,130.484711,85.915131,131.786880,254.330261,18.821651,52.736111
2021-06-23,130.212021,85.810173,132.585236,254.100449,18.991562,53.124657
2021-06-24,129.929550,86.512665,133.804703,255.460648,19.139296,53.339600
2021-06-25,129.637466,86.641884,135.155853,253.860977,18.965403,53.455360
2021-06-28,131.263885,83.969131,135.401520,257.405151,19.916111,52.091274
2021-06-29,132.773438,83.783417,135.234833,259.972290,19.957716,51.768852
2021-06-30,133.386963,84.574738,136.463104,259.493408,19.933554,52.149132
2021-07-01,133.688904,85.761726,137.814209,260.163788,20.142330,52.297943
2021-07-02,136.308731,85.648666,137.681854,265.959137,20.416378,52.223545
2021-07-06,138.314987,83.969131,135.369965,265.968597,20.627153,50.735458
2021-07-07,140.798492,83.113190,135.528809,268.143066,20.301531,49.941811
2021-07-08,139.503159,82.846748,133.190430,265.738861,19.834146,49.718594
2021-07-09,141.324371,84.033730,137.452438,266.236908,19.981136,50.619724
2021-07-12,140.730286,84.203293,139.420181,265.643005,20.441795,50.570107
2021-07-13,141.840546,83.920692,137.346527,269.148865,20.180199,50.330360
2021-07-14,145.258972,82.338036,136.878876,270.614471,19.773108,49.214306
2021-07-15,144.606445,81.797020,137.178894,269.196777,18.900869,48.734814
2021-07-16,142.570908,79.633011,134.046356,268.928650,18.098396,47.387260
2021-07-19,138.733780,77.485130,129.687302,265.346069,18.715017,45.758633
2021-07-20,142.337250,77.945381,132.105072,267.558838,18.547848,46.262920
2021-07-21,141.606781,80.601959,134.884613,269.551208,19.343092,47.751022
2021-07-22,142.970261,79.794487,133.181595,274.091644,19.526461,47.213650
2021-07-23,144.684387,79.826775,132.925705,277.472992,19.490585,47.155777
2021-07-26,145.103180,81.514404,133.816925,276.879089,19.227499,48.346249
2021-07-27,142.941055,81.239868,133.640442,274.474823,19.141792,47.808887
2021-07-28,141.197769,81.700142,133.861023,274.168304,19.435770,48.131302
2021-07-29,141.840546,82.822510,135.008179,274.436432,19.594225,48.718273
2021-07-30,142.054779,82.208839,133.931656,272.913391,19.431789,47.593937
2021-08-02,141.723663,82.063484,133.393356,272.827240,19.681921,47.602207
2021-08-03,143.515686,82.846748,134.911118,275.030396,19.746698,48.114769
2021-08-04,143.116364,80.989555,133.455139,274.446045,20.204115,46.990433
2021-08-05,143.223465,81.740524,135.140518,277.329346,20.565863,47.288055
2021-08-06,142.540726,82.321884,138.978973,277.271790,20.295801,47.833691
2021-08-09,142.491989,80.949165,138.828995,276.189423,20.225044,47.288055
2021-08-10,142.014038,82.426857,140.532059,274.379059,19.867285,48.098244
2021-08-11,142.267639,83.048599,142.208618,274.867493,19.631100,48.238770
2021-08-12,145.223007,82.879036,142.764557,277.607025,19.836390,48.129677
2021-08-13,145.427841,82.329964,141.167374,280.519135,20.118412,47.642929
2021-08-16,147.398071,81.490189,140.240829,282.195374,19.881233,46.946362
2021-08-17,146.491013,81.336761,138.546631,280.739380,19.390930,46.627460
2021-08-18,142.755280,79.135384,137.284805,279.021515,18.974369,45.645573
2021-08-19,143.086945,77.163124,136.137634,284.818207,19.729759,44.252441
2021-08-20,144.540222,77.171326,136.525909,292.102509,20.744247,44.260841
2021-08-23,146.022797,79.159927,138.273087,292.380920,21.882311,46.081963
2021-08-24,145.935043,80.068298,139.128998,290.432617,21.717880,46.459618
2021-08-25,144.706055,80.616608,141.996811,289.847260,22.136436,46.543541
2021-08-26,143.906250,79.560928,142.729248,287.044830,21.991934,45.914120
2021-08-27,144.940155,80.723007,143.876373,287.649506,22.557974,46.803696
2021-08-30,149.348862,80.518394,141.573318,291.363556,22.609795,46.291775
2021-08-31,148.090576,79.192657,141.140930,289.722443,22.311775,45.754669
2021-09-01,148.753830,78.325218,140.937958,289.674500,22.367592,45.125244
2021-09-02,149.865768,79.961922,141.590958,289.021790,22.322735,46.224628
2021-09-03,150.499771,79.781883,140.735016,289.012329,22.768270,46.048389
2021-09-07,152.830917,79.429993,140.487946,288.090942,22.587866,45.779850
2021-09-08,151.289825,78.881683,139.861374,288.119720,22.265924,45.360233
2021-09-09,150.275436,78.562515,140.470276,285.278900,22.104458,45.393803
2021-09-10,145.301086,78.619820,138.855438,283.800934,22.404469,45.301479
2021-09-13,145.866791,80.174706,141.061478,285.029327,22.079535,46.468006
2021-09-14,144.471954,78.726196,138.599564,287.716583,22.169243,45.805027
2021-09-15,145.359589,80.395645,139.561401,292.544037,22.267920,47.349197
2021-09-16,145.125488,79.642761,139.499619,292.927979,22.169243,46.845661
